Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1682370858853858000,2.7995564937591557,1.0843899250030518,-0.3989187180995941,0.2366980475753545,1.282486618679762,-0.3798457413265481,-24.14619827270508,24.254318237304688,10.229141235351562
1682370858863891700,2.851975917816162,1.1038002967834473,-0.432590126991272,-0.0874216783434152,1.2131805158067497,-0.450783317858912,-24.592517852783203,24.39111328125,10.714065551757812
1682370858873926000,2.884316921234131,1.1075875759124756,-0.5011488199234009,-0.3654804948329925,1.2307897491902111,-0.3410999406836926,-24.67417335510254,24.39330291748047,11.206649780273438
1682370858883960000,2.9060428142547607,1.112345576286316,-0.6035993099212646,-0.621584084624052,1.3663190403595566,-0.1121450728473253,-23.65470314025879,24.2216796875,12.704082489013672
1682370858893993700,2.9119200706481934,1.0346274375915527,-0.6965535283088684,-1.0528747299730776,1.5354296986132858,0.1360911993684247,-22.29765510559082,24.04199981689453,13.95541763305664
1682370858904028000,2.88383150100708,0.8473970890045166,-0.7564948797225952,-1.6653782670408486,1.655747976647317,0.4347445851951837,-21.38101959228516,23.818885803222656,15.08388900756836
1682370858914062000,2.8393068313598637,0.6212738752365112,-0.7884585857391357,-2.103700710722804,1.7418693860471248,0.6565279722332954,-20.853992462158203,23.61840057373047,16.130203247070312
1682370858924095700,2.7811086177825928,0.4043226242065429,-0.796586275100708,-2.171994494748116,1.7831043366245924,0.760232384596765,-20.735031127929688,23.452606201171875,17.12061309814453
1682370858934130000,2.718114137649536,0.2542372047901153,-0.784644603729248,-1.9876251848250623,1.7671173706807195,0.7997945796564221,-21.356285095214844,23.334495544433597,18.077674865722656
1682370858944164000,2.6498944759368896,0.1719607263803482,-0.7494935393333435,-1.6876806997418403,1.653906586564332,0.7954813195671886,-22.232913970947266,23.183006286621094,18.884597778320312
1682370858954197800,2.6018083095550537,0.1314490139484405,-0.7126850485801697,-1.3429016321539875,1.4473292442254722,0.7880534345887601,-22.54178237915039,23.025375366210938,19.624526977539062
1682370858964232000,2.577058792114258,0.1294726878404617,-0.6917933821678162,-1.1488654992192984,1.2526632889546454,0.825400949273631,-21.74296188354492,22.712379455566406,20.344467163085938
1682370858974266000,2.56215763092041,0.1196154952049255,-0.6694326400756836,-1.1329869620859625,1.0728105066079645,0.9496484565153718,-20.251930236816406,22.3660888671875,21.104721069335938
1682370858984299800,2.536597728729248,0.0985384359955787,-0.6358185410499573,-1.2800439017027616,0.9219004717595874,1.0839071432270109,-19.794273376464844,22.07017517089844,21.740272521972656
1682370858994334000,2.5010807514190674,0.0786649882793426,-0.5803731679916382,-1.3937906923919916,0.8044461317893117,1.122558872378245,-19.934356689453125,21.82971954345703,22.400672912597656
1682370859004368000,2.4719409942626958,0.0477326437830925,-0.5017377734184265,-1.4860767619013786,0.6973716584708541,1.1641618525505064,-20.0051383972168,21.58067321777344,22.940399169921875
1682370859014401800,2.4396560192108154,0.0152184106409549,-0.3966701626777649,-1.6461077493816614,0.6071615915179253,1.221725422116369,-19.44552421569824,21.290428161621094,23.518524169921875
1682370859024436000,2.3894383907318115,-0.0253447275608778,-0.2689204514026642,-1.7119582319080828,0.6132712335046381,1.253047173705697,-18.61037826538086,20.866065979003903,24.14875030517578
1682370859034470000,2.3131046295166016,-0.0605976656079292,-0.1260311752557754,-1.6646844395577909,0.670670040962845,1.3162955109097063,-19.10612297058105,20.46162414550781,24.690582275390625
1682370859044503800,2.2383201122283936,-0.0886711180210113,0.0142295323312282,-1.5213415520280598,0.6614676936578006,1.461664789700508,-20.764856338500977,20.228057861328125,25.11264038085937
1682370859054538000,2.180062294006348,-0.0917423889040947,0.1341364830732345,-1.3227660220980644,0.5973796907592565,1.593177538704872,-21.82982635498047,19.86473846435547,25.53437042236328
1682370859064572000,2.1472878456115723,-0.0767309516668319,0.2363869547843933,-1.139043193385005,0.4931876410093158,1.6480315570510924,-22.003475189208984,19.444732666015625,25.963592529296875
1682370859074605800,2.134104490280152,-0.0654350817203521,0.3250789046287536,-1.0086018730044364,0.3334807343842461,1.6147179009921848,-22.05939292907715,18.941917419433597,26.336349487304688
1682370859084640000,2.136366128921509,-0.0378836132586002,0.391553521156311,-0.9255682004868984,0.2021322542971931,1.4625254981830715,-22.176050186157227,18.39336395263672,26.747390747070312
1682370859094674000,2.1484832763671875,0.0183307118713855,0.4487926363945007,-0.7588017672717571,0.1338103310227859,1.1914376897498964,-22.1392822265625,17.8619384765625,27.151138305664062
1682370859104707800,2.1605141162872314,0.1118183210492134,0.5002416968345642,-0.5923620817929506,0.10312823817702,0.8787127796791493,-21.7742977142334,17.188812255859375,27.51616668701172
1682370859114742000,2.18422794342041,0.2214934676885604,0.5615500211715698,-0.5378577536672353,0.1179844647916033,0.6449634989067912,-20.60772705078125,16.402923583984375,27.971641540527344
1682370859124776000,2.2125744819641118,0.3085865676403045,0.6373187899589539,-0.6579752484321594,0.1771019492685794,0.5165273078035563,-19.855934143066406,15.63238525390625,28.40959930419922
1682370859134809900,2.2369096279144287,0.3837854862213135,0.7241133451461792,-0.8547142105847597,0.3078528470549732,0.4790099895097315,-20.483230590820312,14.874114990234377,28.80176544189453
1682370859144844000,2.236905574798584,0.4044891595840454,0.8327122926712036,-0.971496423447132,0.5266405594084411,0.5271011626575142,-20.772899627685547,14.075523376464844,29.19379425048828
1682370859154878000,2.220440149307251,0.3784829080104828,0.94149512052536,-1.0339303755283356,0.787828832052648,0.7403899122685194,-20.25369644165039,13.226715087890623,29.568679809570312
1682370859164911900,2.202434539794922,0.2993843555450439,1.0149540901184082,-1.013410734590888,1.010535252219811,0.9765837366487832,-19.857250213623047,12.391826629638672,29.98202514648437
1682370859174945800,2.2046589851379395,0.1820564568042755,1.019673466682434,-0.942450946226716,1.120944934375584,1.18590833186917,-19.710838317871094,11.501575469970703,30.36408233642578
1682370859184980000,2.210371732711792,0.0705070197582244,0.9542560577392578,-0.7545008552074431,1.1364950432721526,1.2412243417039512,-19.32474899291992,10.654144287109377,30.758056640625
1682370859195014000,2.214596509933472,0.0115584824234247,0.8592073917388916,-0.4395937787920236,1.096405098011345,1.1734884107571095,-19.178306579589844,9.683067321777344,31.137451171875
1682370859205047800,2.2050843238830566,-0.024296186864376,0.7583836317062378,-0.0653594841390848,1.0265304745353758,1.0052081389129162,-19.593372344970703,8.780223846435547,31.41764068603516
1682370859215082000,2.188652515411377,-0.0614953711628913,0.675072968006134,0.2536877608209848,1.0093687657237052,0.7922185183789581,-21.095489501953125,7.979877471923828,31.559791564941406
1682370859225116000,2.160906791687012,-0.0723762512207031,0.624564528465271,0.5848281791567802,1.0691067567192016,0.5836847812753171,-22.41183090209961,7.244899749755859,31.65728759765625
1682370859235149800,2.118767738342285,-0.0645242407917976,0.5876918435096741,1.0080600212126969,1.2081690443202853,0.4165782659182325,-23.032684326171875,6.430625915527344,31.80097198486328
1682370859245184000,2.0800321102142334,-0.0503298602998256,0.5454573035240173,1.290060268804431,1.264237260761857,0.3447220036383718,-23.65300941467285,5.584869384765625,31.881851196289062
1682370859255218000,2.046379804611206,-0.0307319946587085,0.4838407933712005,1.3725579347491264,1.1430316784992811,0.3002389745177701,-23.65300941467285,5.584869384765625,31.881851196289062
1682370859265251800,2.016551733016968,-0.0265385806560516,0.3980414569377899,1.3465987331062554,0.9583965572468937,0.3124460931293666,-23.97193717956543,4.718315124511719,31.956375122070312
1682370859275286000,1.992724657058716,-0.0346162170171737,0.3075496554374695,1.2295178295582532,0.7856219696581364,0.3149197897665202,-24.04871368408203,3.894306182861328,32.01683807373047
1682370859285320000,1.974397897720337,-0.0404187105596065,0.2206451296806335,1.1179857923090455,0.6569799537844956,0.2585524077152833,-24.175861358642575,3.1364288330078125,32.04778289794922
1682370859295353900,1.9568475484848025,-0.0336985848844051,0.153825432062149,1.0703303071647885,0.5908708203218876,0.204865277723968,-24.30809783935547,2.3400840759277344,32.0982666015625
1682370859305388000,1.9434579610824585,-0.0016804630868136,0.1136516481637954,1.0191010551869868,0.581079932539165,0.160001615255326,-24.31642341613769,1.7063369750976562,32.169944763183594
1682370859315422000,1.9300867319107056,0.0308107808232307,0.0940315797924995,0.9627151510983704,0.5941439967736601,0.120915312345419,-24.30137252807617,1.0467872619628906,32.184722900390625
1682370859325454800,1.9161194562911987,0.0435966178774833,0.0901739969849586,0.800619047781825,0.6123930624306202,0.1613647385683841,-24.233917236328125,0.3777542114257812,32.19792938232422
1682370859335489000,1.8912442922592163,0.0621582493185997,0.0915321260690689,0.588547491940856,0.6172482473768294,0.1751990017240867,-24.02811050415039,-0.1250190734863281,32.16474914550781
1682370859345523000,1.847721815109253,0.1009405329823494,0.0915731340646743,0.5649170255064964,0.661354223345965,0.149145947785303,-24.04128646850586,-0.6381111145019531,32.181785583496094
1682370859355556900,1.8093534708023071,0.1369557380676269,0.1221349239349365,0.5362590862989426,0.7106298570379614,0.1467730811741203,-24.10504150390625,-1.190044403076172,32.17997741699219
1682370859365591000,1.801884889602661,0.2007997035980224,0.1796789020299911,0.4639525595009326,0.5164500778488814,0.0428247222532518,-24.094947814941406,-1.8432273864746092,32.20960235595703
1682370859375625000,1.7918154001235962,0.2586105167865753,0.2217331975698471,0.3251256880909204,0.4954278942167758,0.0879195448629558,-24.03316116333008,-2.4532699584960938,32.201637268066406
1682370859385659000,1.753116488456726,0.2563606798648834,0.2545207142829895,0.0607663111299276,0.6469365525454283,0.3673678064169361,-24.0319938659668,-2.9588699340820312,32.177040100097656
1682370859395693000,1.6751816272735596,0.2114487588405609,0.2937911450862884,-0.1378197401940822,0.7796794278666377,0.5657467543289065,-24.003093719482425,-3.4790115356445312,32.155052185058594
1682370859405727000,1.5771697759628296,0.1462638974189758,0.3388829827308655,-0.1158890634149312,0.8099405644871294,0.5296610032081603,-23.938072204589844,-4.043918609619141,32.147216796875
